unit_code,unit_label,unit_type,territorial_scope,access_category,public_status,methodological_decision,negative_reason,collection_route_attempted,attempt_summary,methodological_explanation,evidence_status,protocol_status,next_step,blocks_expansion,rule_version
inedits-ad-libitum,Ad Libitum Workshop,arquivo_audiovisual_individual,França,rota_publica_nao_estavel_ou_nao_coletavel,"Arquivo identificado, mas não incluído no corpus do organismo",não incorporar ao corpus ativo nesta rodada,"O diretório INEDITS confirma a pertinência audiovisual, mas a sondagem não encontrou catálogo público, player, API ou fichas de filmes coletáveis. O site oficial informado não respondeu por rota HTTP/HTTPS simples.","Site oficial HTTP/HTTPS, ficha do membro no INEDITS, índice INEDITS de arquivos online e página pública municipal de Voiron.",2 variações do site oficial indisponíveis; 2 referências públicas confirmam a instituição audiovisual. O índice INEDITS de arquivos online não listou o Ad Libitum na sondagem.,"A negativa é técnica e metodológica: a instituição é audiovisual, mas o organismo não pode transformar referência institucional em corpus sem rota pública de registros, metadados ou vídeo. Isso não equivale à ausência de acervo audiovisual no Ad Libitum.",arquivo_audiovisual_confirmado_sem_rota_publica_coletavel,site_oficial_indisponivel_e_catalogo_publico_nao_detectado,retestar_site_oficial_e_buscar_catalogo_publico_api_ou_parceria_documentada,False,2026-05-adlibitum-protocol-v1
archivegrid,ArchiveGrid,agregador_candidato,agregador mundial,rota_publica_nao_estavel_ou_nao_coletavel,"Identificada, mas não incluída no corpus do organismo",não incorporar ao corpus ativo no MVP,"O ArchiveGrid é metodologicamente central como agregador mundial, mas a sondagem leve não encontrou rota pública estável de coleta ou API documentada para triagem audiovisual comparável.","Página pública, busca por termos audiovisuais, rotas candidatas de API e referência institucional da OCLC.","Foram testadas a página inicial, a página sobre o ArchiveGrid, buscas públicas por `film`, `video` e `audiovisual`, além de rotas candidatas `/api` e `/api/search`. 7 sondagens retornaram bloqueio, restrição ou desafio por navegação. A página institucional da OCLC confirmou a relevância do agregador.","A negativa é técnica e metodológica: a relevância do agregador foi reconhecida, mas a coleta automatizada não pode depender de superfície bloqueada ou de rota não documentada. Isso não equivale a ausência de acervo audiovisual no ArchiveGrid.",agregador_mundial_relevante_sem_rota_publica_estavel_de_coleta,prototipo_leve_indica_bloqueio_em_busca_publica_e_api_nao_documentada,identificar_api_exportacao_parceria_ou_rota_controlada_antes_de_incorporar,False,2026-05-archivegrid-protocol-v1
archives-hub,Archives Hub,agregador_candidato,agregador nacional,rota_publica_nao_estavel_ou_nao_coletavel,"Identificada, mas não incluída no corpus do organismo",não incorporar ao corpus ativo no MVP,"O protocolo documentou relevância, mas também ausência de rota estável; a unidade permanece fora do corpus ativo no MVP.",SRU e OAI-PMH documentados; referência pública de APIs também sondada.,"Foram testadas a referência pública sobre APIs, a rota SRU base, uma consulta SRU audiovisual mínima, a rota OAI-PMH base e o verbo Identify. As sondagens simples retornaram bloqueio por JS/cookies ou superfície não estável.","A negativa é técnica e metodológica: sem rota estável, a fonte não pode ser comparada aos corpora ativos. Isso não autoriza concluir ausência de acervo audiovisual; apenas registra que o organismo não conseguiu incorporá-la com rigor nesta rodada.",exige_js_cookies_ou_superficie_bloqueada,prototipo_leve_indica_bloqueio_em_sru_ou_oaipmh,identificacao_de_api_exportacao_sitemap_ou_rota_publica_estavel,False,2026-05-fechamento-europa-v1
fiaf-arsenal-filminstitut,Arsenal Filminstitut,arquivo_audiovisual_individual,Alemanha,rota_publica_nao_estavel_ou_nao_coletavel,"Arquivo identificado, mas não incluído no corpus do organismo",não incorporar ao corpus ativo nesta rodada,"A Film Database pública foi identificada, mas a rota exige navegador por proteção Anubis e apresentou timeouts intermitentes durante a tentativa de paginação completa. Sem estabilidade, a incorporação geraria corpus incompleto ou saída zero.","Site oficial, página Archive & Distribution, Film Database por requisição simples e Browse Works por navegador Playwright.","A rota Browse Works chegou a indicar catálogo público de obras, mas não se manteve estável para ciclo reprodutível. Observação do navegador: arsenal=sim; film_database=nao; anubis=nao; registros_detectados=sim; total_browse=7188.","A negativa é técnica e metodológica: o Arsenal é audiovisual e tem catálogo público, mas o organismo só incorpora corpus quando consegue reproduzir a coleta sem instabilidade estrutural. Isso não equivale à ausência de acervo.",arquivo_audiovisual_confirmado_com_rota_catalografica_instavel,catalogo_publico_identificado_mas_paginacao_instavel,retestar Browse Works com janela estável e só incorporar após completar a paginação pública,False,2026-06-arsenal-protocol-v1
inedits-prise-2,Association Prise 2,arquivo_audiovisual_individual,França,rota_publica_nao_estavel_ou_nao_coletavel,"Arquivo identificado, mas não incluído no corpus do organismo",não incorporar ao corpus ativo nesta rodada,"A associação tem pertinência audiovisual e página pública de coleção, mas a própria página declara lista não exaustiva. A API pública do WordPress.com responde, mas expõe páginas/posts editoriais, não um catálogo audiovisual fechado. Incorporar agora produziria um corpus parcial como se fosse completo.","Site oficial WordPress, página institucional, página Collections Prise 2, ficha INEDITS rota REST padrão e API pública WordPress.com de páginas.","Foram detectados até 10 links públicos de vídeo/plataforma nas páginas sondadas. API WordPress.com disponível: sim. Mesmo assim, não há catálogo fechado ou endpoint especificamente audiovisual para absorção completa.","A negativa não equivale à ausência de audiovisual. Ela registra que há acervo e sinais públicos, mas ainda não há rota suficiente para cumprir a regra de corpus completo do MVP.",arquivo_audiovisual_confirmado_com_rota_publica_parcial,colecao_publica_nao_exaustiva_e_api_nao_disponivel,"buscar catálogo público fechado, sitemap completo, API alternativa ou parceria documentada",False,2026-06-prise2-protocol-v1
fiat-atresmedia,Atresmedia,instituicao_televisiva_com_acervo_audiovisual,Espanha,banco_privado_de_imagens_e_videos_com_acesso_restrito_e_pagamento,"Arquivo identificado, mas não incluído no corpus do organismo",não incorporar ao corpus ativo nesta rodada,"A Atresmedia tem acervo audiovisual confirmado e portal oficial de banco privado de imagens e vídeos, mas a rota pública funciona como fluxo comercial/autenticado de solicitação, orçamento, visionamento e licenciamento pago. Não foi encontrado catálogo público ou endpoint aberto de registros audiovisuais completo.","Lista de membros FIAT/IFTA, site oficial da Atresmedia, página FIAT/IFTA do prêmio de gestão de arquivo, PortalVentas, aplicação JavaScript do PortalVentas, endpoints da API e Atresplayer.","Foram detectados até 64 endpoints internos na aplicação do PortalVentas. 2 rotas operacionais testadas exigiram autenticação. A rota pública de versões respondeu, mas não expõe catálogo audiovisual.","A negativa registra uma categoria própria de acesso restrito e monetizado, não ausência de acervo. Para o MVP, o organismo só incorpora corpus quando consegue materializar registros públicos de modo completo e reprodutível.",banco_privado_de_imagens_e_videos_confirmado_com_acesso_restrito_pago,banco_privado_confirmado_sem_catalogo_publico_coletavel,"buscar catálogo público, endpoint de metadados, sitemap, recorte aberto ou acordo documentado",False,2026-06-atresmedia-protocol-v1
fiaf-cnc-aff,CNC - Archives françaises du film,arquivo_audiovisual_individual,França,rota_publica_mediada_instavel,"Arquivo identificado, mas não incluído no corpus do organismo",não incorporar ao corpus ativo no MVP nesta rodada,"A página oficial confirma o arquivo fílmico e o European Film Gateway anuncia coleção pública com resultados de vídeo, mas a coleta completa não se materializou de forma reprodutível. A paginação/rota mediada pelo EFG apresentou instabilidade na coleta estática; o domínio histórico não respondeu e a rota LISE ficou indisponível.","Página oficial CNC/DPC, página parceira do CNC/AFF no European Film Gateway, primeira página da coleção CNC/AFF no EFG, paginação da coleção, domínio histórico cnc-aff.fr e rota LISE/CNC.",Arquivo fílmico oficial: confirmado; coleção EFG com vídeos: confirmada (141 resultados anunciados; 8 links na amostra); paginação EFG: sem bloqueio específico na sondagem; domínio legado: indisponível; LISE: indisponível.,"A negativa é técnica e metodológica, não ontológica: há evidência de arquivo audiovisual e de registros de vídeo mediados pelo EFG. O organismo, porém, só incorpora corpus quando consegue materializar registros completos, verificáveis e reexecutáveis. Portanto, o CNC/AFF permanece documentado e será retestado, sem ser contado como corpus ativo.",arquivo_filmico_confirmado_com_rota_efg_publica_instavel,rota_publica_mediada_instavel_sem_materializacao_completa,"retestar EFG, LISE e possíveis endpoints públicos antes de incorporar",False,2026-06-cnc-aff-protocol-v1
inedits-cinematheque-corse,Cinémathèque de Corse,arquivo_audiovisual_individual,Córsega / França,arquivo_audiovisual_com_consulta_presencial_ou_por_acreditacao_sem_catalogo_publico_de_video,"Arquivo identificado, mas não incluído no corpus do organismo",não incorporar ao corpus ativo nesta rodada,"A Cinémathèque de Corse é uma instituição audiovisual/fílmica confirmada, mas a rota oficial não expõe catálogo público de vídeos ou player de acervo. A página de coleções informa consulta por rendez-vous e o catálogo online indicado cobre coleções Non Film, como cartazes e fotografias.","Domínio antigo da fila INEDITS, site oficial atual Casa di Lume, página Consulter les Collections, página Le Patrimoine, página Ciné-Ressources, busca avançada do site, seção MEDIAS e canal YouTube.","O domínio antigo `casadilume.corse.fr` não resolveu na rodada; o domínio oficial atual `casadilume.corsica` respondeu. A política pública encontrada aponta consulta presencial, inscrição/acreditação e catálogo online Non Film, sem rota aberta de vídeos.","A decisão não nega a existência do acervo audiovisual; nega apenas a entrada como corpus ativo do MVP, porque o organismo só incorpora unidades quando consegue materializar registros públicos de imagem em movimento de forma reprodutível, sem login, sem credenciamento e sem substituir catálogo arquivístico por comunicação institucional.",arquivo_audiovisual_confirmado_sem_catalogo_publico_de_video_coletavel,consulta_presencial_ou_acreditada_e_catalogo_online_non_film,"retestar site oficial, Ciné-Ressources e eventuais novas rotas públicas de vídeo em ciclos futuros",False,2026-06-cinematheque-corse-protocol-v1
fiaf-cinematheque-luxembourg,Cinémathèque de la Ville de Luxembourg,arquivo_audiovisual_individual,Luxemburgo,arquivo_filmico_com_acervo_preservado_e_programacao_publica_sem_catalogo_publico_de_video,"Arquivo identificado, mas não incluído no corpus do organismo",não incorporar ao corpus ativo nesta rodada,"A Cinémathèque de la Ville de Luxembourg é um arquivo fílmico confirmado, com acervo preservado e programação pública. Porém, as rotas oficiais observadas não expõem um catálogo público de vídeos de acervo. A API pública encontrada lista sessões, datas, locais e bilheteria; os arquivos MP4 detectados são clipes institucionais de contexto.","Site oficial, página Archives & collections, página Programme, página La Cinémathèque, API pública /fr/api/film, busca pública do site e página municipal da Ville de Luxembourg.","A página Archives & collections confirma a existência do acervo fílmico e suas contagens; a API /fr/api/film respondeu em JSON, mas com campos de programação e bilheteria, como projection_date, projection_time e ticket_url. Não foi localizada rota pública de catálogo de vídeos de acervo materializável.","A decisão não nega a existência nem a relevância do acervo. Ela apenas impede que programação de sala, bilheteria, páginas institucionais ou clipes de fundo sejam tratados como corpus digital de imagem em movimento. Para entrar no corpus ativo, a unidade precisa expor registros públicos de vídeo de acervo ou metadados audiovisuais coletáveis de forma reprodutível.",arquivo_filmico_confirmado_sem_catalogo_publico_de_video_coletavel,acervo_preservado_e_programacao_publica_sem_rota_de_video_de_acervo,"retestar site oficial, API pública e eventuais catálogos digitais em ciclos futuros",False,2026-06-cinematheque-luxembourg-protocol-v1
cinematheque-suisse,Cinémathèque suisse,arquivo_individual_protocolado,Suíça / instituição individual europeia,metadados_publicos_midia_local_autorizada_sem_video_publico,"Identificada, mas não incluída no corpus do organismo",não incorporar ao corpus ativo no MVP,"O protocolo documentou relevância e metadados públicos, mas não encontrou vídeo público incorporável; a unidade permanece fora do corpus ativo no MVP.","Página institucional do Film Department, endpoint Memobase da instituição csa, conjunto `csa-001` e busca API `type:Film AND *:csa-001`.","A rota Memobase retornou registros Film e metadados públicos do conjunto `csa-001`, mas os objetos digitais aparecem com acesso local/autorizado e uso sujeito a direitos. Não foi identificado vídeo público incorporável ao corpus ativo.","A negativa não indica ausência de acervo audiovisual. Ela registra que, nesta rodada, o organismo encontrou apenas metadados públicos e mídia local/autorizada; como não há vídeo público incorporável, a unidade fica fora do corpus ativo.","API Memobase retorna registros Film, mas mídia local/autorizada",protocolo_de_nao_incorporacao_por_acesso_restrito,monitorar_se_memobase_ou_site_institucional_passam_a_expor_video_publico,False,2026-05-fechamento-europa-v1
