code,label,short_label,category_code,category_label,entity_level,coverage_level,scope,geographic_scope,audiovisual_relevance,methodological_fit,discovery_origin,source_url,already_covered_by_active_aggregator,audiovisual_probe_status,audiovisual_probe_hits,audiovisual_probe_urls,organism_status,automatic_decision,automatic_priority,automatic_reason,next_step,rule_version
aapb,American Archive of Public Broadcasting,AAPB,aggregator,Agregadores arquivísticos,infraestrutura agregadora,agregador nacional norte-americano,agregador temático audiovisual,agregador nacional norte-americano,É uma fonte especializada em televisão pública e registros audiovisuais; a presença audiovisual é materializada por registros PBCore retornados pela API pública.,ativo,corpus já incorporado ao organismo,https://americanarchive.org/faq,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
ape,Archives Portal Europe,APE,aggregator,Agregadores arquivísticos,infraestrutura agregadora,agregador continental,portal geral de arquivos,agregador continental,É uma fonte geral de pesquisa. A presença de audiovisual precisa ser demonstrada empiricamente nas instituições agregadas.,ativo,corpus já incorporado ao organismo,https://www.archivesportaleurope.net/uploads/files/20251215_OnlyInstitutionsWithContent.pdf,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
european-film-gateway,European Film Gateway,EFG,aggregator,Agregadores arquivísticos,infraestrutura agregadora,agregador audiovisual europeu,agregador temático cinematográfico e audiovisual,agregador audiovisual europeu,"É uma fonte especializada em cinema e audiovisual. Falhas de acesso público são registradas como instabilidade técnica, não como ausência de acervo.",ativo,corpus já incorporado ao organismo,https://www.europeanfilmgateway.eu/,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
euscreen,EUscreen,EUscreen,aggregator,Agregadores arquivísticos,infraestrutura agregadora,agregador audiovisual europeu,agregador temático audiovisual,agregador audiovisual europeu,"É uma fonte agregadora especializada em audiovisual, usada para contrastar com o APE e aprofundar a circulação cultural transnacional do audiovisual europeu.",ativo,corpus já incorporado ao organismo,https://euscreen.eu/collections/,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
europeana,Europeana,Europeana,aggregator,Agregadores arquivísticos,infraestrutura agregadora,agregador cultural europeu,agregador cultural digital com recorte audiovisual,agregador cultural europeu,É uma fonte geral de patrimônio cultural. O audiovisual só conta quando há sinal público detectável em buscas filtradas por mídia ou metadados de item.,ativo,corpus já incorporado ao organismo,https://www.europeana.eu/,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
pares,PARES,PARES,aggregator,Agregadores arquivísticos,infraestrutura agregadora,agregador nacional europeu,portal geral de arquivos,agregador nacional europeu,"É uma fonte geral de pesquisa. A presença audiovisual é inferida inicialmente por termos de busca e por sinais de objeto digitalizado, exigindo curadoria posterior.",ativo,corpus já incorporado ao organismo,https://pares.cultura.gob.es/,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
portal-portugues-arquivos,Portal Português de Arquivos,PPA,aggregator,Agregadores arquivísticos,infraestrutura agregadora,agregador nacional europeu,portal geral de arquivos,agregador nacional europeu,"É uma fonte geral de pesquisa. A presença audiovisual é inferida por termos de busca, descrições e ligações às fontes originais, sem equivaler automaticamente à reprodução pública de vídeo.",ativo,corpus já incorporado ao organismo,https://portal.arquivos.pt/,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
aamod,Archivio Audiovisivo del movimento operaio e democratico,AAMOD,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,arquivo italiano audiovisual e filmoteca/videoteca institucional,instituição individual europeia,"É um arquivo explicitamente audiovisual. A coleta registra vídeos incorporados no site oficial e fichas públicas de filmes, sem baixar mídia e sem inferir cobertura total do catálogo.",ativo,corpus já incorporado ao organismo,https://aamod.it/,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
anf,Arhiva Nationala de Filme - Cinemateca Romana,ANF,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,arquivo nacional romeno especializado em patrimônio fílmico,instituição individual europeia,"É um arquivo explicitamente fílmico/audiovisual. A coleta registra metadados públicos de programas/filmes na Cinemateca Online, sem baixar mídia, sem pressupor player aberto e sem tratar a amostra como catálogo total da instituição.",ativo,corpus já incorporado ao organismo,https://eventbook.ro/program/cinemateca-online,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
aqshf,Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,AQSHF,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,arquivo nacional albanês especializado em patrimônio fílmico,instituição individual europeia,"É um arquivo explicitamente fílmico/audiovisual. A coleta registra fichas públicas de filmes, cinejornais, documentários, animações e materiais de arquivo, sem baixar mídia e sem presumir player público aberto nas fichas.",ativo,corpus já incorporado ao organismo,https://aqshf.gov.al/en/motion-pictures-listing/,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
